,2.359271764755249,2.6005825996398926,2.7463345527648926,2.77160382270813,2.930344820022583,2.9629573822021484,3.178610324859619,3.252971649169922,3.3330812454223633,3.3383371829986572,3.343576669692993,3.4053454399108887,3.441523551940918,3.4698574542999268,3.496885299682617,3.5510988235473633,3.596377372741699,3.6002371311187744,3.6097984313964844,3.701920509338379,3.7305667400360107,3.7377467155456543,3.7744317054748535,3.776991605758667,3.7957398891448975,3.881059169769287,3.9377212524414062,3.972461700439453,3.977454662322998,4.038628101348877,4.052398204803467,4.0611443519592285,4.068367004394531,4.096254348754883,4.131554126739502,4.272736072540283,4.284488677978516,4.298657417297363,4.300318241119385,4.3187785148620605,4.371643543243408,4.443794250488281,4.473016738891602,4.491395950317383,4.5021467208862305,4.637384414672852,4.6425275802612305,4.655830383300781,4.696457386016846,4.782840728759766,4.787714958190918,4.788941860198975,4.843553066253662,4.969543933868408,5.2182793617248535,5.250597953796387,5.259383201599121,5.279378414154053,5.317118167877197,5.395572662353516,5.501760959625244,5.555245876312256,5.55863094329834,5.575019836425781,5.598572731018066,5.673768520355225,5.676745414733887,5.677436351776123,5.713473796844482,5.817936420440674,5.830963134765625,5.908500671386719,5.9114508628845215,5.9397501945495605,5.983563423156738,6.1024250984191895,6.140316486358643,6.144323348999023,6.178795337677002,6.343047142028809,6.588106632232666
0,210.0,210.0,210.0,210.0,180.0,210.0,210.0,180.0,210.0,210.0,180.0,180.0,210.0,210.0,180.0,210.0,180.0,180.0,210.0,180.0,240.0,180.0,180.0,180.0,240.0,210.0,180.0,240.0,240.0,210.0,210.0,240.0,210.0,180.0,240.0,240.0,210.0,180.0,240.0,210.0,240.0,240.0,180.0,180.0,210.0,180.0,240.0,180.0,210.0,180.0,210.0,210.0,180.0,240.0,210.0,240.0,210.0,240.0,240.0,210.0,180.0,180.0,240.0,180.0,240.0,240.0,180.0,210.0,180.0,180.0,240.0,240.0,240.0,180.0,240.0,240.0,240.0,240.0,210.0,240.0,240.0
1,220.0,280.0,250.0,250.0,250.0,220.0,250.0,280.0,250.0,220.0,220.0,280.0,250.0,280.0,220.0,220.0,250.0,220.0,220.0,220.0,250.0,280.0,220.0,250.0,280.0,250.0,250.0,220.0,250.0,220.0,280.0,280.0,280.0,250.0,250.0,220.0,280.0,250.0,250.0,220.0,280.0,280.0,280.0,280.0,250.0,220.0,250.0,250.0,220.0,250.0,250.0,250.0,250.0,280.0,280.0,220.0,280.0,220.0,220.0,220.0,220.0,280.0,280.0,280.0,250.0,220.0,280.0,280.0,280.0,220.0,220.0,280.0,250.0,220.0,280.0,250.0,220.0,280.0,280.0,250.0,220.0
2,280.0,300.0,280.0,300.0,300.0,300.0,260.0,260.0,280.0,280.0,280.0,300.0,280.0,280.0,260.0,260.0,280.0,280.0,280.0,260.0,300.0,280.0,300.0,260.0,300.0,300.0,300.0,260.0,280.0,300.0,280.0,280.0,300.0,260.0,280.0,280.0,260.0,280.0,260.0,260.0,280.0,300.0,300.0,280.0,260.0,300.0,300.0,300.0,260.0,260.0,300.0,260.0,280.0,260.0,260.0,300.0,260.0,280.0,280.0,300.0,280.0,280.0,300.0,260.0,260.0,260.0,260.0,280.0,300.0,300.0,300.0,260.0,260.0,260.0,280.0,280.0,300.0,260.0,300.0,300.0,260.0
3,280.0,320.0,320.0,320.0,320.0,320.0,280.0,300.0,280.0,300.0,300.0,280.0,300.0,280.0,280.0,300.0,320.0,320.0,320.0,300.0,320.0,300.0,320.0,280.0,300.0,280.0,300.0,320.0,300.0,280.0,300.0,320.0,300.0,320.0,320.0,280.0,300.0,300.0,320.0,280.0,300.0,320.0,320.0,280.0,320.0,280.0,280.0,280.0,320.0,300.0,300.0,300.0,280.0,300.0,280.0,320.0,320.0,300.0,320.0,300.0,280.0,320.0,280.0,280.0,300.0,300.0,320.0,320.0,300.0,300.0,280.0,320.0,280.0,320.0,280.0,280.0,300.0,280.0,280.0,300.0,280.0
