id,M9_solder_measurement,M9_board_measurement,M8_solder_measurement,M8_board_measurement,M7_solder_measurement,M7_board_measurement,M9_board_measurement_sm,M9_solder_measurement_sm,M8_board_measurement_sm,M8_solder_measurement_sm,M7_board_measurement_sm,M7_solder_measurement_sm,M9_solder_simulation,M9_board_simulation,M8_solder_simulation,M8_board_simulation,M7_solder_simulation,M7_board_simulation
28,44.4526,69.5236,35.487,58.7822,28.2454,34.773,70.1700664439807,44.3755016750548,56.4146861786346,35.4672501008837,34.6508004346617,28.1852482309991,39.6729517,56.8961593,38.8372664,54.349832,38.4147763,53.0519116
29,45.3573,72.5933,36.2006,60.3024,28.4051,35.6456,71.0788675951259,45.2699132842355,57.9032681606756,36.2347838053423,35.2686301160157,28.4161436475282,40.1181743,57.6125987,39.2337423,54.9878769,38.7866876,53.650409
30,46.3006,73.7977,36.9929,59.562,28.6046,36.5571,71.9780096726292,46.161235084158,59.3319156039422,37.034509021874,35.9217067948212,28.6482901790589,40.5650937,58.319664,39.6317114,55.6174857,39.1599976,54.2409679
31,47.0862,72.7098,37.8636,60.4972,28.884,37.3096,72.891905108658,47.0490555627861,60.67591640604,37.8437641365112,36.706644738149,28.9108994034375,41.0132648,59.0172907,40.0307766,56.2386057,39.5343357,54.8235356
32,47.9498,73.7589,38.6152,63.0675,29.1632,37.9428,73.8449663353797,47.9329632080835,61.9105584645746,38.6398875352862,37.7200582130695,29.2331828985098,41.4622823,59.7054477,40.4305751,56.8512125,39.9093662,55.3980599
33,48.7736,75.507,39.4847,62.5614,29.4823,38.6547,74.884203259779,48.7964867152725,62.9471732964393,39.4453770111488,39.0029692370335,29.5940276367907,41.9117855,60.3841296,40.830795,57.455306,40.2847871,55.9645796
34,49.597,74.8466,40.3537,61.8216,29.881,39.0501,75.9813518723176,49.6389545414991,63.7946320169526,40.2814130279439,40.4685594126234,29.966824109702,42.3614486,61.0533537,41.231147,58.0509071,40.6603291,56.5231116
35,50.459,74.9243,41.222,63.6903,30.2796,39.5638,77.0479137303779,50.4836548176137,64.5745319213573,41.1233579780465,42.0216823846078,30.3725391734507,42.8109955,61.7131578,41.6313766,58.638053,41.0357516,57.0736602
36,51.3597,77.1775,41.9713,65.0132,30.7576,41.4193,77.9953903913424,51.3538756744665,65.4084703048965,41.9465742538316,43.5671917977553,30.8321396842432,43.2601669,62.3636001,42.0312584,59.2167961,41.4108397,57.6163149
37,52.299,77.8768,42.7202,64.8576,31.2754,44.8067,78.7774458791398,52.2417791551272,66.2605099966382,42.7554585168826,45.2666150323173,31.3560918161712,43.7087326,63.0047476,42.4305901,59.7872028,41.7854011,58.1511196
38,53.1205,78.887,43.5473,66.9579,31.8724,48.3814,79.4507246864518,53.1291140645432,67.0427106439122,43.5683066115449,47.2276612697441,31.9324720802772,44.1564878,63.6366826,42.8291853,60.3493478,42.1592667,58.6781565
39,53.9807,82.5012,44.3739,69.7956,32.5088,49.7145,80.0811990737903,54.023548676381,67.7986647693539,44.3813297043368,49.2744568566032,32.5486628381949,44.6032546,64.2594975,43.2268783,60.9033162,42.5322792,59.1974945
40,54.8795,84.9508,45.3179,70.3397,33.2243,50.8507,80.734841301667,54.9327512643071,68.5719648955987,45.1907389617771,51.2311281394618,33.1920464515576,45.0488507,64.8732923,43.6235239,61.4491993,42.9043003,59.7092317
41,55.7387,83.862,46.0649,69.1348,33.8997,54.3715,81.4776236305938,55.8643901019884,69.406203545282,45.992745550384,52.9218014648873,33.8500052819991,45.4931426,65.4781769,44.0189899,61.9870964,43.2752118,60.2134512
42,56.7147,82.0347,46.8112,70.262,34.5348,57.144,82.179848989372,56.8189743308495,70.34375867773,46.7769488497654,54.4244152672152,34.5484689966983,45.9360017,66.0742615,44.4131648,62.5171092,43.6449061,60.7102587
43,57.7293,81.957,47.6358,71.4665,35.249,56.9098,82.7736179931435,57.790019770917,71.3435651001528,47.5461333916019,55.9006014185757,35.2999491876825,46.3773059,66.6616644,44.8059481,63.0393443,44.0132852,61.1997457
44,58.7822,82.3846,48.3029,70.6893,36.0024,57.144,83.4175994319312,58.7747047137593,72.3240506070109,48.3162880705221,57.3000264222278,36.0717011038578,46.8169549,67.2405069,45.1972411,63.5539125,44.3802634,61.6820244
45,59.7958,82.5012,49.0481,71.3888,36.8344,59.562,84.2704620957578,59.7702074509449,73.2036429927649,49.1034017811541,58.5723567814308,36.8309799941303,47.2548533,67.8109118,45.5869657,64.0609249,44.7457655,62.1571926
46,60.8868,83.1232,49.8713,73.5646,37.6658,59.9907,85.3681501842175,60.7912141909725,73.9539658783869,49.8978949271108,59.6360523854164,37.5942566831868,47.6909208,68.3730053,45.9750508,64.5604957,45.1097241,62.6253659
47,61.9384,84.6007,50.7331,74.1084,38.457,59.0161,86.6042428878383,61.8429757513907,74.6275361149873,50.686177022976,60.5004140675374,38.3883862509719,48.1250816,68.9269141,46.3614379,65.052739,45.4720801,63.0866448
48,62.9118,87.1682,51.4772,75.1962,39.2082,60.1075,87.923861483043,62.9085173373434,75.2641213422339,51.4782206298346,61.2513697472349,39.1962003292784,48.5572817,69.4727675,46.7460652,65.5377725,45.8327797,63.5411458
49,63.8848,88.764,52.2599,78.3819,40.0378,61.549,89.2721272462548,63.9708641539745,75.9034891997947,52.2839983087713,61.9748473439499,40.0005305498993,48.9874646,70.0106931,47.1288834,66.015709,46.1917781,63.9889715
50,64.7409,89.8542,53.0031,80.0138,40.788,61.6658,90.5941614538964,65.0130414064278,76.5854073273377,53.113482620871,62.7567747771237,40.7842085446274,49.4155817,70.5408194,47.50985,66.486667,46.5490344,64.4302378
51,65.869,92.9714,53.8634,78.8093,41.5375,62.7172,92.0596792348877,66.0474956180338,77.200753450635,53.9648409121053,63.5322111269911,41.5541684580854,49.841583,71.0632747,47.8889255,66.9507617,46.904513,64.8650465
52,67.0746,96.4045,54.7232,77.4883,42.405,65.3245,93.7359030289539,67.0899694287441,77.7100764523651,54.8293347320229,64.228771000171,42.3259785158498,50.2654322,71.578186,48.2660831,67.4081096,47.2581859,65.2935124
53,68.4741,96.3654,55.6606,77.5271,43.1929,66.8801,95.4142150787267,68.1284322186343,78.2576507075548,55.7065779470742,64.9212156056804,43.0954214711447,50.687102,72.0856799,48.6412916,67.8588221,47.6100156,65.715737
